Dataset,MAE,RMSE,R²
Training,0.4167959551129388,0.6045165437904895,0.9954643296700839
Validation,0.44372494857900124,0.6798723687225147,0.9910027087349459
Test,3.089615511894226,3.8022077822386406,0.07852710378648287
