time,hour,day_of_week,is_weekend,sin_hour,cos_hour,sin_doy,cos_doy
2025-09-17 00:00:00,0,2,0,0.0,1.0,-0.9721181966290612,-0.23449138957041052
2025-09-17 01:00:00,1,2,0,0.25881904510252074,0.9659258262890683,-0.9721181966290612,-0.23449138957041052
2025-09-17 02:00:00,2,2,0,0.49999999999999994,0.8660254037844387,-0.9721181966290612,-0.23449138957041052
2025-09-17 03:00:00,3,2,0,0.7071067811865475,0.7071067811865476,-0.9721181966290612,-0.23449138957041052
2025-09-17 04:00:00,4,2,0,0.8660254037844386,0.5000000000000001,-0.9721181966290612,-0.23449138957041052
2025-09-17 05:00:00,5,2,0,0.9659258262890683,0.25881904510252074,-0.9721181966290612,-0.23449138957041052
2025-09-17 06:00:00,6,2,0,1.0,6.123233995736766e-17,-0.9721181966290612,-0.23449138957041052
2025-09-17 07:00:00,7,2,0,0.9659258262890683,-0.25881904510252063,-0.9721181966290612,-0.23449138957041052
2025-09-17 08:00:00,8,2,0,0.8660254037844387,-0.49999999999999983,-0.9721181966290612,-0.23449138957041052
2025-09-17 09:00:00,9,2,0,0.7071067811865476,-0.7071067811865475,-0.9721181966290612,-0.23449138957041052
2025-09-17 10:00:00,10,2,0,0.49999999999999994,-0.8660254037844387,-0.9721181966290612,-0.23449138957041052
2025-09-17 11:00:00,11,2,0,0.258819045102521,-0.9659258262890682,-0.9721181966290612,-0.23449138957041052
2025-09-17 12:00:00,12,2,0,1.2246467991473532e-16,-1.0,-0.9721181966290612,-0.23449138957041052
2025-09-17 13:00:00,13,2,0,-0.2588190451025208,-0.9659258262890683,-0.9721181966290612,-0.23449138957041052
2025-09-17 14:00:00,14,2,0,-0.4999999999999998,-0.8660254037844388,-0.9721181966290612,-0.23449138957041052
2025-09-17 15:00:00,15,2,0,-0.7071067811865471,-0.7071067811865479,-0.9721181966290612,-0.23449138957041052
2025-09-17 16:00:00,16,2,0,-0.8660254037844384,-0.5000000000000004,-0.9721181966290612,-0.23449138957041052
2025-09-17 17:00:00,17,2,0,-0.9659258262890683,-0.25881904510252063,-0.9721181966290612,-0.23449138957041052
2025-09-17 18:00:00,18,2,0,-1.0,-1.8369701987210297e-16,-0.9721181966290612,-0.23449138957041052
2025-09-17 19:00:00,19,2,0,-0.9659258262890684,0.2588190451025203,-0.9721181966290612,-0.23449138957041052
2025-09-17 20:00:00,20,2,0,-0.8660254037844386,0.5000000000000001,-0.9721181966290612,-0.23449138957041052
2025-09-17 21:00:00,21,2,0,-0.7071067811865477,0.7071067811865474,-0.9721181966290612,-0.23449138957041052
2025-09-17 22:00:00,22,2,0,-0.5000000000000004,0.8660254037844384,-0.9721181966290612,-0.23449138957041052
2025-09-17 23:00:00,23,2,0,-0.25881904510252157,0.9659258262890681,-0.9721181966290612,-0.23449138957041052
2025-09-18 00:00:00,0,3,0,0.0,1.0,-0.9760105506323682,-0.21772323039653224
2025-09-18 01:00:00,1,3,0,0.25881904510252074,0.9659258262890683,-0.9760105506323682,-0.21772323039653224
2025-09-18 02:00:00,2,3,0,0.49999999999999994,0.8660254037844387,-0.9760105506323682,-0.21772323039653224
2025-09-18 03:00:00,3,3,0,0.7071067811865475,0.7071067811865476,-0.9760105506323682,-0.21772323039653224
2025-09-18 04:00:00,4,3,0,0.8660254037844386,0.5000000000000001,-0.9760105506323682,-0.21772323039653224
2025-09-18 05:00:00,5,3,0,0.9659258262890683,0.25881904510252074,-0.9760105506323682,-0.21772323039653224
2025-09-18 06:00:00,6,3,0,1.0,6.123233995736766e-17,-0.9760105506323682,-0.21772323039653224
2025-09-18 07:00:00,7,3,0,0.9659258262890683,-0.25881904510252063,-0.9760105506323682,-0.21772323039653224
2025-09-18 08:00:00,8,3,0,0.8660254037844387,-0.49999999999999983,-0.9760105506323682,-0.21772323039653224
2025-09-18 09:00:00,9,3,0,0.7071067811865476,-0.7071067811865475,-0.9760105506323682,-0.21772323039653224
2025-09-18 10:00:00,10,3,0,0.49999999999999994,-0.8660254037844387,-0.9760105506323682,-0.21772323039653224
2025-09-18 11:00:00,11,3,0,0.258819045102521,-0.9659258262890682,-0.9760105506323682,-0.21772323039653224
2025-09-18 12:00:00,12,3,0,1.2246467991473532e-16,-1.0,-0.9760105506323682,-0.21772323039653224
2025-09-18 13:00:00,13,3,0,-0.2588190451025208,-0.9659258262890683,-0.9760105506323682,-0.21772323039653224
2025-09-18 14:00:00,14,3,0,-0.4999999999999998,-0.8660254037844388,-0.9760105506323682,-0.21772323039653224
2025-09-18 15:00:00,15,3,0,-0.7071067811865471,-0.7071067811865479,-0.9760105506323682,-0.21772323039653224
2025-09-18 16:00:00,16,3,0,-0.8660254037844384,-0.5000000000000004,-0.9760105506323682,-0.21772323039653224
2025-09-18 17:00:00,17,3,0,-0.9659258262890683,-0.25881904510252063,-0.9760105506323682,-0.21772323039653224
2025-09-18 18:00:00,18,3,0,-1.0,-1.8369701987210297e-16,-0.9760105506323682,-0.21772323039653224
2025-09-18 19:00:00,19,3,0,-0.9659258262890684,0.2588190451025203,-0.9760105506323682,-0.21772323039653224
2025-09-18 20:00:00,20,3,0,-0.8660254037844386,0.5000000000000001,-0.9760105506323682,-0.21772323039653224
2025-09-18 21:00:00,21,3,0,-0.7071067811865477,0.7071067811865474,-0.9760105506323682,-0.21772323039653224
2025-09-18 22:00:00,22,3,0,-0.5000000000000004,0.8660254037844384,-0.9760105506323682,-0.21772323039653224
2025-09-18 23:00:00,23,3,0,-0.25881904510252157,0.9659258262890681,-0.9760105506323682,-0.21772323039653224
